Andorra,2014,Peseta and Franc,76996,AD
Austria,1999,Schilling,8858775,AT
Belgium,1999,Franc,11467923,BE
Cyprus,2008,Pound,875898,CY
Estonia,2011,Kroon,1324820,EE
Finland,1999,Markka,5517919,FI
France,1999,Franc,67028048,FR
Germany,1999,Mark,83019214,DE
Greece,2001,Drachma,10722287,GR
Ireland,1999,Pound,4904226,IE
Italy,1999,Lira,60359546,IT
Latvia,2014,Lats,1919968,LV
Lithuania,2015,Litas,2794184,LT
Luxembourg,1999,Franc,613894,LU
Malta,2008,Lira,493559,MT
Monaco,2001,Monegasque franc,39785,MC
Netherlands,1999,Guilder,17282163,NL
Portugal,1999,Escudo,10276617,PT
San Marino,2002,Lira,33562,SM
Slovakia,2009,Koruna,5450421,SK
Slovenia,2007,Tolar,2080908,SI
Spain,1999,Peseta,46934632,ES
Vatican City,2002,Lira,799,VA
